key,pressDuration,pressTime,releaseTime,flightTime
KeyJ,160.5,0.2999999523162842,160.79999995231628,39
KeyS,306.7999999523163,199.79999995231628,506.59999990463257,-148.09999990463257
CapsLock,222.29999995231628,358.5,580.7999999523163,169.60000002384186
KeyD,158.5,750.3999999761581,908.8999999761581,135.19999992847443
CapsLock,31.300000071525574,1044.0999999046326,1075.3999999761581,-225.30000007152557
KeyS,253.40000009536743,850.0999999046326,1103.5,6
KeyH,145.5,1109.5,1255,-118.70000004768372
KeyD,154.39999997615814,1136.2999999523163,1290.6999999284744,-47.5
KeyU,146.10000002384186,1243.1999999284744,1389.2999999523163,5.5
KeyS,152.39999997615814,1394.7999999523163,1547.1999999284744,-284.5
KeyW,317.3000000715256,1262.6999999284744,1580,11.699999928474426
KeyB,16.899999976158142,1591.6999999284744,1608.5999999046326,-74.09999990463257
KeyD,191.29999995231628,1534.5,1725.7999999523163,-111.20000004768372
KeyJ,163,1614.5999999046326,1777.5999999046326,66.30000007152557
KeyH,94.19999992847443,1843.8999999761581,1938.0999999046326,-246.5
KeyS,287.8000000715256,1691.5999999046326,1979.3999999761581,-35.39999997615814
KeyU,115.29999995231628,1944,2059.2999999523163,-141.29999995231628
KeyD,282.5,1918,2200.5,11.899999976158142
KeyS,320.2999999523163,2212.399999976158,2532.6999999284744,-403.89999997615814
KeyW,426.7999999523163,2128.7999999523163,2555.5999999046326,39.800000071525574
KeyU,127.10000002384186,2595.399999976158,2722.5,-201.90000009536743
KeyD,210.70000004768372,2520.5999999046326,2731.2999999523163,-21.100000023841858
KeyW,30.399999976158142,2710.1999999284744,2740.5999999046326,5.400000095367432
KeyS,268.39999997615814,2746,3014.399999976158,-69.20000004768372
KeyN,90.10000002384186,2945.1999999284744,3035.2999999523163,34.299999952316284
KeyK,83,3069.5999999046326,3152.5999999046326,-198.89999997615814
KeyD,316,2953.6999999284744,3269.6999999284744,-78.79999995231628
CapsLock,242.29999995231628,3190.899999976158,3433.1999999284744,-81.79999995231628
KeyU,128.10000002384186,3351.399999976158,3479.5,-67.80000007152557
KeyS,282,3411.6999999284744,3693.6999999284744,35
KeyL,184.80000007152557,3728.6999999284744,3913.5,-275.60000002384186
CapsLock,406.89999997615814,3637.899999976158,4044.7999999523163,226.79999995231628
KeyH,113.20000004768372,4271.599999904633,4384.799999952316,-80.89999997615814
KeyD,116.19999992847443,4303.899999976158,4420.099999904633,-231.69999992847443
KeyS,257,4188.399999976158,4445.399999976158,20.799999952316284
KeyW,21.899999976158142,4466.199999928474,4488.099999904633,-128.29999995231628
KeyU,207.79999995231628,4359.799999952316,4567.599999904633,6
KeyH,69.5,4573.599999904633,4643.099999904633,160.80000007152557
KeyB,85.89999997615814,4803.899999976158,4889.799999952316,-28.899999976158142
KeyS,260.10000002384186,4860.899999976158,5121,-66.90000009536743
KeyH,131.20000004768372,5054.099999904633,5185.299999952316,-58.60000002384186
KeyD,82.30000007152557,5126.699999928474,5209,-734.4000000953674
KeyE,858.5,4474.599999904633,5333.099999904633,313.10000002384186
KeyS,171.60000002384186,5646.199999928474,5817.799999952316,-88.29999995231628
KeyH,131.89999997615814,5729.5,5861.399999976158,-319.8000000715256
KeyW,515.8000000715256,5541.599999904633,6057.399999976158,72.19999992847443
KeyE,112.60000002384186,6129.599999904633,6242.199999928474,-122.5
KeyR,148.39999997615814,6119.699999928474,6268.099999904633,-12.399999976158142
KeyQ,154.39999997615814,6255.699999928474,6410.099999904633,53.800000071525574
KeyS,184.29999995231628,6463.899999976158,6648.199999928474,-12.699999928474426
KeyU,23.799999952316284,6635.5,6659.299999952316,165.60000002384186
KeyB,86.79999995231628,6824.899999976158,6911.699999928474,15.700000047683716
KeyJ,117.5,6927.399999976158,7044.899999976158,105.39999997615814
CapsLock,248.20000004768372,7150.299999952316,7398.5,-1152
KeyW,2005.3999999761581,6246.5,8251.899999976158,-60.5
KeyN,109,8191.399999976158,8300.399999976158,6
KeyJ,76.10000002384186,8306.399999976158,8382.5,-198.30000007152557
KeyA,350.5,8184.199999928474,8534.699999928474,6.100000023841858
KeyH,76.10000002384186,8540.799999952316,8616.899999976158,-52.89999997615814
KeyU,117.09999990463257,8564,8681.099999904633,42.800000071525574
KeyE,260,8723.899999976158,8983.899999976158,-114.10000002384186
KeyB,121.29999995231628,8869.799999952316,8991.099999904633,-257.1999999284744
KeyW,292.1999999284744,8733.899999976158,9026.099999904633,-236.69999992847443
KeyA,425.5,8789.399999976158,9214.899999976158,42.5
KeyA,346.6999999284744,9257.399999976158,9604.099999904633,-229.69999992847443
KeyW,329.7999999523163,9374.399999976158,9704.199999928474,-389.5
KeyE,636.7000000476837,9314.699999928474,9951.399999976158,-92.60000002384186
KeyH,116.70000004768372,9858.799999952316,9975.5,-108.10000002384186
KeyA,201.29999995231628,9867.399999976158,10068.699999928474,-288
KeyW,297.39999997615814,9780.699999928474,10078.099999904633,182.40000009536743
CapsLock,185.79999995231628,10260.5,10446.299999952316,519.7999999523163
KeyK,18,10966.099999904633,10984.099999904633,-211.5
KeyW,232.40000009536743,10772.599999904633,11005,-66.20000004768372
KeyN,81.60000002384186,10938.799999952316,11020.399999976158,5.5
KeyJ,115.89999997615814,11025.899999976158,11141.799999952316,-423.39999997615814
KeyA,599.1999999284744,10718.399999976158,11317.599999904633,-22.799999952316284
KeyE,63.89999997615814,11294.799999952316,11358.699999928474,27.899999976158142
KeyD,160.80000007152557,11386.599999904633,11547.399999976158,21.100000023841858
KeyN,123.89999997615814,11568.5,11692.399999976158,-47.200000047683716
KeyE,179.5,11645.199999928474,11824.699999928474,309.5
KeyN,126.30000007152557,12134.199999928474,12260.5,-297.5
KeyE,520.6999999284744,11963,12483.699999928474,-88.39999997615814
KeyJ,96.79999995231628,12395.299999952316,12492.099999904633,152.90000009536743
KeyI,115.19999992847443,12645,12760.199999928474,-149.60000002384186
KeyE,357.8000000715256,12610.599999904633,12968.399999976158,192.79999995231628
KeyJ,103.20000004768372,13161.199999928474,13264.399999976158,-13.300000071525574
KeyI,120.40000009536743,13251.099999904633,13371.5,6.199999928474426
KeyD,22.200000047683716,13377.699999928474,13399.899999976158,-212.80000007152557
KeyE,272.8000000715256,13187.099999904633,13459.899999976158,70.89999997615814
KeyN,126.10000002384186,13530.799999952316,13656.899999976158,213.89999997615814
KeyJ,95.20000004768372,13870.799999952316,13966,156.29999995231628
KeyN,161.79999995231628,14122.299999952316,14284.099999904633,-736.3999999761581
KeyF,750.7000000476837,13547.699999928474,14298.399999976158,137.10000002384186
KeyH,23.09999990463257,14435.5,14458.599999904633,5.900000095367432
KeyH,14.399999976158142,14464.5,14478.899999976158,-110.20000004768372
KeyD,275,14368.699999928474,14643.699999928474,15
KeyK,30.300000071525574,14658.699999928474,14689,-12.900000095367432
KeyN,121.20000004768372,14676.099999904633,14797.299999952316,-130.10000002384186
KeyF,149.70000004768372,14667.199999928474,14816.899999976158,-42.800000071525574
KeyW,103.10000002384186,14774.099999904633,14877.199999928474,-75.19999992847443
KeyE,93.5,14802,14895.5,-12.700000047683716
KeyD,79,14882.799999952316,14961.799999952316,56.299999952316284
KeyF,33.200000047683716,15018.099999904633,15051.299999952316,-42.39999997615814
